#	size	1                   	2                   	3                   	4                   	5                   	6                   	7                   	8                   	9                   	10                  	average             	average(s:ms)
10	58  	1.000;50;1          	0.000;50;1          	2.000;50;1          	2.000;50;1          	1.000;50;1          	1.000;50;1          	1.000;50;1          	1.000;50;1          	1.000;50;1          	1.000;50;1          	1.1;50              	0:1;1.0   
11	63  	0.000;35;1          	1.000;35;1          	1.000;35;1          	0.000;35;1          	0.000;35;1          	1.000;35;1          	0.000;35;1          	0.000;35;1          	1.000;35;1          	1.000;35;1          	0.5;35              	0:0;1.0   
12	68  	0.000;1;1           	1.000;1;1           	2.000;1;1           	0.000;1;1           	1.000;1;1           	0.000;1;1           	1.000;1;1           	1.000;1;1           	0.000;1;1           	0.000;1;1           	0.6;1               	0:0;1.0   
13	73  	2.000;14;1          	0.000;14;1          	1.000;14;1          	1.000;14;1          	1.000;14;1          	1.000;14;1          	1.000;14;1          	1.000;14;1          	1.000;14;1          	1.000;14;1          	1.0;14              	0:1;1.0   
14	78  	2.000;214;1         	2.000;214;1         	2.000;214;1         	6.000;214;1         	2.000;214;1         	2.000;214;1         	2.000;214;1         	2.000;214;1         	2.000;214;1         	2.000;214;1         	2.4;214             	0:2;1.0   
15	83  	2.000;43;1          	1.000;43;1          	3.000;43;1          	2.000;43;1          	1.000;43;1          	1.000;43;1          	3.000;43;1          	1.000;43;1          	1.000;43;1          	3.000;43;1          	1.8;43              	0:1;1.0   
16	88  	60001.000;10804873;0	60001.000;10875951;0	60001.000;10622467;0	60001.000;10797322;0	60001.000;10754481;0	60001.000;10563817;0	60001.000;10615397;0	60001.000;10641598;0	60001.000;10632240;0	60001.000;10654223;0	60001.0;10696236    	60:0;0.0  
17	93  	21479.000;3294372;1 	21298.000;3294372;1 	22121.000;3294372;1 	22362.000;3294372;1 	21885.000;3294372;1 	21423.000;3294372;1 	21760.000;3294372;1 	21516.000;3294372;1 	21492.000;3294372;1 	21490.000;3294372;1 	21682.6;3294372     	21:682;1.0
18	98  	6985.000;1008395;1  	7068.000;1008395;1  	6957.000;1008395;1  	7000.000;1008395;1  	6988.000;1008395;1  	6976.000;1008395;1  	7205.000;1008395;1  	7231.000;1008395;1  	7106.000;1008395;1  	6984.000;1008395;1  	7050.0;1008395      	7:49;1.0  
19	103 	1.000;0;1           	1.000;0;1           	1.000;0;1           	1.000;0;1           	1.000;0;1           	1.000;0;1           	1.000;0;1           	1.000;0;1           	1.000;0;1           	1.000;0;1           	1.0;0               	0:1;1.0   
20	108 	60001.000;7907074;0 	60001.000;7755195;0 	60002.000;7862382;0 	60002.000;7871835;0 	60002.000;7873418;0 	60001.000;7835690;0 	60001.000;7868071;0 	60001.000;7849741;0 	60001.000;7836778;0 	60001.000;7772279;0 	60001.3;7843246     	60:1;0.0  
21	113 	12.000;1279;1       	12.000;1279;1       	19.000;1279;1       	20.000;1279;1       	11.000;1279;1       	13.000;1279;1       	12.000;1279;1       	13.000;1279;1       	12.000;1279;1       	10.000;1279;1       	13.4;1279           	0:13;1.0  
22	118 	2.000;3;1           	3.000;3;1           	1.000;3;1           	1.000;3;1           	1.000;3;1           	1.000;3;1           	1.000;3;1           	1.000;3;1           	3.000;3;1           	1.000;3;1           	1.5;3               	0:1;1.0   
23	123 	60001.000;7826445;0 	60001.000;7891608;0 	60001.000;7898322;0 	60001.000;7905946;0 	60001.000;7872481;0 	60001.000;7864388;0 	60002.000;7897150;0 	60001.000;7827212;0 	60001.000;7896339;0 	60001.000;7876080;0 	60001.1;7875597     	60:1;0.0  
